"item_sugerido","veces","variantes"
"CAMBIO DE ACEITE","633","CAMBIO DE ACEITE (631) | CAMBIO DE  ACEITE (1) | CAMBIO DE ACEITE} (1)"
"FILTRO DE ACEITE","615","FILTRO DE ACEITE (612) | FILTRO DE ACEITE} (1) | FILTRO DE ACETIE (1) | FILTRO DE ACETE (1)"
"LAVADA","551","LAVADA (549) | LAVADA} (1) | LAVADA: (1)"
"MANO DE OBRA","401","MANO DE OBRA (400) | MANO DE OBRA} (1)"
"MANTENIMIENTO GENERAL","369","MANTENIMIENTO GENERAL (264) | MTO GENERAL (105)"
"FILTRO DE AIRE","193","FILTRO DE AIRE (192) | FILTRO DE AIR (1)"
"PASTILLAS TRASERAS","179","PASTILLAS TRASERAS (178) | PASTILLAS TRASERAS} (1)"
"ACEITE HIDRAULICO","145","ACEITE HIDRAULICO (143) | ACEITE HIDRÁULICO (2)"
"MANTENIMIENTO PREVENTIVO","133","MANTENIMIENTO PREVENTIVO (104) | MTO PREVENTIVO (29)"
"MANTENIMIENTO Y RETEN DE CLUTCH","67","MANTENIMIENTO Y RETEN DE CLUTCH (43) | MTO Y RETEN DE CLUTCH (24)"
"DEPURACION LIQUIDO DE FRENOS","60","DEPURACION LIQUIDO DE FRENOS (57) | DEPURACIÓN LÍQUIDO DE FRENOS (3)"
"BATERIA","55","BATERIA (54) | BATERIA} (1)"
"MANTENIMIENTO DE BARRAS","54","MANTENIMIENTO DE BARRAS (35) | MTO DE BARRAS (19)"
"MANTENIMIENTO DE BARRA","54","MANTENIMIENTO DE BARRA (36) | MTO DE BARRA (18)"
"MANTENIMIENTO DE CARDAN","49","MANTENIMIENTO DE CARDAN (31) | MTO DE CARDAN (18)"
"SINCRONIZACION Y MANTENIMIENTO GENERAL","47","SINCRONIZACION Y MANTENIMIENTO GENERAL (41) | SINCRONIZACION Y MTO GENERAL (4) | SINCRONIZACIÓN Y MTO GENERAL (1) | SINCRONIZACIÓN Y MANTENIMIENTO GENERAL (1)"
"PASTILLAS","39","PASTILLAS (38) | ´PASTILLAS (1)"
"MANTENIMIENTO FILTRO DE AIRE","32","MANTENIMIENTO FILTRO DE AIRE (21) | MTO FILTRO DE AIRE (11)"
"TAPA DE RADIADOR","28","TAPA DE RADIADOR (27) | TAPA DE RADIADOR} (1)"
"BUJIAS","28","BUJIAS (27) | BUJIAS} (1)"
"SINCRONIZACION","23","SINCRONIZACION (22) | SINCRONIZACIÓN (1)"
"MANTENIMIENTO DE CADENA","20","MANTENIMIENTO DE CADENA (16) | MTO DE CADENA (4)"
"MANTENIMIENTO KIT DE ARRASTRE","18","MANTENIMIENTO KIT DE ARRASTRE (10) | MTO KIT DE ARRASTRE (8)"
"MANTENIMIENTO DE CLUTCH","17","MANTENIMIENTO DE CLUTCH (14) | MTO DE CLUTCH (3)"
"TAPIZADO SILLA","12","TAPIZADO SILLA (11) | TAPIZADO SILLA} (1)"
"MANTENIMIENTO BARRA DERECHA","11","MANTENIMIENTO BARRA DERECHA (8) | MTO BARRA DERECHA (3)"
"MANTENIMIENTO GENRAL","11","MANTENIMIENTO GENRAL (8) | MTO GENRAL (3)"
"RETEN Y MANTENIMIENTO DE CLUTCH","10","RETEN Y MANTENIMIENTO DE CLUTCH (7) | RETEN Y MTO DE CLUTCH (2) | RETÉN Y MTO DE CLUTCH (1)"
"MANTENIMIENTO DE BARRA DERECHA","8","MANTENIMIENTO DE BARRA DERECHA (7) | MTO DE BARRA DERECHA (1)"
"PINTURA ELECTROSTATICA","8","PINTURA ELECTROSTATICA (7) | PINTURA ELECTROSTÁTICA (1)"
"ARREGLO SUSPENSION","8","ARREGLO SUSPENSION (7) | ARREGLO SUSPENSIÓN (1)"
"MANTENIMIENTO BOMBA DE CLUTCH","5","MANTENIMIENTO BOMBA DE CLUTCH (3) | MTO BOMBA DE CLUTCH (2)"
"MANTENIMIENTO DE BOBINAS","5","MANTENIMIENTO DE BOBINAS (4) | MTO DE BOBINAS (1)"
"MANTENIMIENTO SUSPENSION TRASERA","5","MANTENIMIENTO SUSPENSION TRASERA (3) | MTO SUSPENSION TRASERA (2)"
"MANTENIMIENTO TRAPECIO","5","MTO TRAPECIO (4) | MANTENIMIENTO TRAPECIO (1)"
"MANTENIMIENTO BARRA IZQUIERDA","5","MANTENIMIENTO BARRA IZQUIERDA (4) | MTO BARRA IZQUIERDA (1)"
"MANTENIMIENTO CUERPO DE ACELERACION","4","MTO CUERPO DE ACELERACION (3) | MANTENIMIENTO CUERPO DE ACELERACION (1)"
"MANTENIMIENTO DE FRENOS","4","MTO DE FRENOS (2) | MANTENIMIENTO DE FRENOS (2)"
"MANTENIMIENTO FILTRO KYN","4","MANTENIMIENTO FILTRO KYN (3) | MTO FILTRO KYN (1)"
"MANTENIMIENTO BARRA IZQ","4","MTO BARRA IZQ (2) | MANTENIMIENTO BARRA IZQ (2)"
"INSTALACION DE LLANTAS","4","INSTALACION DE LLANTAS (2) | INSTALACION DE LLANTAS} (1) | INSTALACIÓN DE LLANTAS (1)"
"MANTENIMIENTO BOBINAS","4","MTO BOBINAS (3) | MANTENIMIENTO BOBINAS (1)"
"MANTENIMIENTO BOMBA DE GASOLINA","4","MTO BOMBA DE GASOLINA (2) | MANTENIMIENTO BOMBA DE GASOLINA (2)"
"INSTALACION PUERTO USB","3","INSTALACION PUERTO USB (2) | INSTALACIÓN PUERTO USB (1)"
"MANTENIMIENTO GUAYA DE CLUTCH","3","MANTENIMIENTO GUAYA DE CLUTCH (2) | MTO GUAYA DE CLUTCH (1)"
"MANTENIMIENTO MORDAZAS","3","MTO MORDAZAS (2) | MANTENIMIENTO MORDAZAS (1)"
"PULIDA DE CUPULA","3","PULIDA DE CUPULA (2) | PULIDA  DE CUPULA (1)"
"MANTENIMIENTO DE TIJERA","3","MANTENIMIENTO DE TIJERA (2) | MTO DE TIJERA (1)"
"MANO DE OBRA SUSPENSION DELANTERA","2","MANO DE OBRA SUSPENSION DELANTERA (1) | MANO DE OBRA SUSPENSIÓN DELANTERA (1)"
"MANTENIMIENTO KIT DE ARRSTRE","2","MTO KIT DE ARRSTRE (1) | MANTENIMIENTO KIT DE ARRSTRE (1)"
"MANTENIMIENTO DE BOBINAS Y BUJIAS","2","MTO DE BOBINAS Y BUJIAS (1) | MANTENIMIENTO DE BOBINAS Y BUJIAS (1)"
"MANTENIMIENTO SUSPENSION DELANTERA","2","MTO SUSPENSION DELANTERA (1) | MANTENIMIENTO SUSPENSION DELANTERA (1)"
"MANTENIMIENTO DE TRAPECIO","2","MTO DE TRAPECIO (1) | MANTENIMIENTO DE TRAPECIO (1)"
"MANTENIMIENTO ACELERADOR","2","MTO ACELERADOR (1) | MANTENIMIENTO ACELERADOR (1)"
"DIRECCIONALES TRASERAS","2","DIRECCIONALES TRASERAS} (1) | DIRECCIONALES TRASERAS (1)"
"NEUMATICOS","2","NEUMATICOS (1) | NEUMATICOS ? (1)"
